Car Name,Car Detail Link,Car Detail Link-href,Fuel Type,Current Color,Seat,Registration Date,Registration Type,Current Mileage,Spare Key,Service Book,Principal Warranty,Road Tax Exp Date,Car Location,Price
2019 Nissan LIVINA VL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/livina/2019-nissan-livina-vl-1.5/cvj3000,Petrol,Black,7,8/19/2022,Private,51.883 km,Yes,Yes,No,8/21/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          225.000.000"
2018 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-satya-e-1.2/cp45000,Petrol,White,5,3/18/2022,Private,53.987 km,Yes,Yes,No,3/23/2022,"Carsome Bogor, Bogor","Rp
          144.000.000"
2017 Suzuki IGNIS GL 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2017-suzuki-ignis-gl-1.2/cqu4000,Petrol,Gray,4,4/18/2022,Private,37.252 km,Yes,Yes,No,4/23/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          132.000.000"
2018 Toyota FORTUNER VRZ 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2018-toyota-fortuner-vrz-4x2-2.4/cdl1000,Diesel,Black,7,11/18/2022,Private,65.122 km,Yes,Yes,No,11/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          422.000.000"
2017 Honda JAZZ RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/jazz/2017-honda-jazz-rs-1.5/cye1000,Petrol,Red,5,7/17/2022,Private,47.723 km,Yes,Yes,No,7/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          228.000.000"
2020 Mitsubishi XPANDER CROSS PREMIUM 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2020-mitsubishi-xpander-cross-premium-1.5/chd3000,Petrol,White,7,4/20/2022,Private,24.234 km,Yes,No,No,4/23/2022,"Carsome Bogor, Bogor","Rp
          271.400.000"
2017 Suzuki ERTIGA GL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2017-suzuki-ertiga-gl-1.5/c3u3000,Petrol,Gray,7,9/17/2022,Private,64.697 km,Yes,Yes,No,9/22/2022,"Carsome Bogor, Bogor","Rp
          149.000.000"
2016 Nissan X-TRAIL  2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/x-trail/2016-nissan-x-trail--2.5/cry2000,Petrol,Gray,5,6/16/2022,Company,103.482 km,Yes,Yes,No,6/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          251.000.000"
2019 Mitsubishi XPANDER ULTIMATE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2019-mitsubishi-xpander-ultimate-1.5/c9x4000,Petrol,Black,7,9/19/2022,Private,40.292 km,Yes,Yes,No,9/22/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          239.000.000"
2017 Honda HR-V PRESTIGE 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2017-honda-hr-v-prestige-1.8/c3g4000,Petrol,Gray,5,3/17/2022,Private,68.514 km,Yes,Yes,No,3/23/2022,"Carsome Bogor, Bogor","Rp
          291.000.000"
2017 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2017-honda-hr-v-e-1.5/c024000,Petrol,Gray,5,9/17/2022,Private,61.885 km,Yes,No,No,9/22/2022,"Carsome Cibinong, Bogor","Rp
          231.000.000"
2017 Suzuki IGNIS GX AGS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ignis/2017-suzuki-ignis-gx-ags-1.2/czt2000,Petrol,Gray,5,5/17/2022,Private,64.100 km,Yes,Yes,No,5/22/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          141.000.000"
2018 Mitsubishi XPANDER ULTIMATE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/crx1000,Petrol,Silver,7,5/18/2022,Private,75.852 km,Yes,Yes,No,5/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          229.000.000"
2017 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2017-honda-mobilio-rs-1.5/c762000,Petrol,Gray,7,3/17/2022,Private,64.165 km,Yes,Yes,No,5/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          191.000.000"
2018 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2018-toyota-calya-g-1.2/c0u1000,Petrol,White,7,5/18/2022,Private,58.795 km,Yes,Yes,No,5/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          132.000.000"
2019 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2019-mitsubishi-pajero-sport-dakar-4x2-2.4/cr93000,Diesel,Silver,7,9/19/2022,Private,55.772 km,Yes,Yes,No,10/22/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          507.000.000"
2017 Honda BRIO E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2017-honda-brio-e-1.2/cww3000,Petrol,Gray,5,12/17/2022,Private,88.563 km,Yes,No,No,12/22/2022,"Carsome Bogor, Bogor","Rp
          134.000.000"
2019 Honda JAZZ RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/jazz/2019-honda-jazz-rs-1.5/ct62000,Petrol,Gray,5,5/19/2022,Private,21.534 km,Yes,Yes,No,5/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          268.000.000"
2019 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2019-honda-brio-satya-e-1.2/cbf1000,Petrol,White,5,9/19/2022,Private,36.813 km,No,Yes,No,9/21/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          151.300.000"
2019 Suzuki ERTIGA GX 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2019-suzuki-ertiga-gx-1.5/c9g2000,Petrol,White,7,6/19/2022,Private,66.458 km,Yes,Yes,No,6/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          201.000.000"
2017 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2017-honda-mobilio-rs-1.5/ck13000,Petrol,Black,7,3/17/2022,Private,52.111 km,Yes,Yes,No,4/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          187.000.000"
2019 Mazda 2 GT SKYACTIV 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mazda/2/2019-mazda-2-gt-skyactiv-1.5/c1t4000,Petrol,Gray,5,6/20/2022,Private,20.062 km,Yes,Yes,6/23/2022,7/23/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          244.000.000"
2017 Daihatsu AYLA R 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/ayla/2017-daihatsu-ayla-r-1.2/cjd3000,Petrol,Orange,5,11/17/2022,Private,28.725 km,No,No,No,11/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          131.000.000"
2019 Toyota RUSH G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2019-toyota-rush-g-1.5/cz84000,Petrol,Black,7,4/19/2022,Company,72.764 km,Yes,Yes,No,4/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          220.000.000"
2018 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2018-mitsubishi-pajero-sport-dakar-4x2-2.4/cdz2000,Diesel,Gray,7,3/19/2022,Private,62.170 km,Yes,Yes,No,3/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          468.000.000"
2015 Toyota AVANZA VELOZ 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2015-toyota-avanza-veloz-1.5/cax3000,Petrol,White,7,1/15/2022,Private,30.201 km,Yes,Yes,No,1/23/2022,"Carsome Malang, Malang","Rp
          163.000.000"
2019 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2019-honda-brio-satya-e-1.2/cic2000,Petrol,White,5,6/19/2022,Private,32.978 km,Yes,Yes,No,7/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          156.000.000"
2017 Honda BRIO E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2017-honda-brio-e-1.2/cq74000,Petrol,Gray,5,9/17/2022,Private,47.845 km,Yes,Yes,No,9/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          135.000.000"
2017 Daihatsu AYLA X 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/ayla/2017-daihatsu-ayla-x-1.0/crz2000,Petrol,Red,5,1/17/2022,Private,72.002 km,Yes,Yes,No,2/23/2022,"Carsome Depok, Depok","Rp
          97.000.000"
2018 Honda JAZZ RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/jazz/2018-honda-jazz-rs-1.5/cs35000,Petrol,Other,5,7/18/2022,Private,45.126 km,Yes,No,No,8/23/2022,"Carsome Malang, Malang","Rp
          254.000.000"
2016 Toyota ALTIS V-E170 1.8,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/altis/2016-toyota-altis-v-e170-1.8/cni2000,Petrol,Black,4,4/16/2022,Company,82.422 km,Yes,No,No,4/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          243.000.000"
2018 Honda CR-V TURBO PRESTIGE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2018-honda-cr-v-turbo-prestige-1.5/c6n4000,Petrol,Gray,7,4/18/2022,Private,61.318 km,Yes,No,No,4/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          448.000.000"
2018 Suzuki ERTIGA DREZA 1.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2018-suzuki-ertiga-dreza-1.4/cn54000,Petrol,White,7,4/18/2022,Private,29.393 km,Yes,Yes,No,4/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          182.000.000"
2019 Nissan LIVINA VL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/livina/2019-nissan-livina-vl-1.5/c004000,Petrol,Black,7,11/19/2022,Company,62.871 km,Yes,Yes,11/22/2022,11/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          200.000.000"
2017 Mazda CX-5 ELITE 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mazda/cx-5/2017-mazda-cx-5-elite-2.5/cwm4000,Petrol,Gray,5,2/18/2022,Private,61.540 km,Yes,Yes,No,2/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          424.000.000"
2017 Toyota KIJANG INNOVA REBORN G 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2017-toyota-kijang-innova-reborn-g-2.4/c251000,Diesel,Gray,7,9/17/2022,Company,87.517 km,Yes,Yes,No,10/22/2022,"Carsome Depok, Depok","Rp
          282.000.000"
2016 Honda BR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/br-v/2016-honda-br-v-e-1.5/cqx1000,Petrol,Silver,7,4/16/2022,Private,58.404 km,Yes,Yes,No,4/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          174.406.000"
2019 Toyota FORTUNER VRZ TRD 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2019-toyota-fortuner-vrz-trd-2.4/c9n1000,Diesel,Black,7,6/19/2022,Private,66.483 km,Yes,Yes,No,6/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          476.000.000"
2018 Mitsubishi XPANDER SPORT 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/xpander/2018-mitsubishi-xpander-sport-1.5/c484000,Petrol,Gray,7,2/18/2022,Private,97.891 km,Yes,Yes,No,2/23/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          215.000.000"
2020 Toyota YARIS S TRD 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2020-toyota-yaris-s-trd-1.5/cgt4000,Petrol,White,5,3/20/2022,Private,23.497 km,Yes,Yes,3/23/2022,3/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          261.000.000"
2016 Honda HR-V S 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2016-honda-hr-v-s-1.5/c624000,Petrol,Gray,5,6/16/2022,Private,81.047 km,Yes,No,No,6/23/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          211.000.000"
2016 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2016-honda-hr-v-e-1.5/c8g4000,Petrol,Black,5,8/16/2022,Private,76.198 km,Yes,Yes,No,8/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          227.000.000"
2018 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-satya-e-1.2/ch34000,Petrol,Gray,5,8/18/2022,Private,69.814 km,No,Yes,No,8/22/2022,"Carsome Bogor, Bogor","Rp
          134.000.000"
2017 Honda BRIO RS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2017-honda-brio-rs-1.2/cg45000,Petrol,Black,4,9/17/2022,Private,50.034 km,Yes,Yes,No,9/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          152.000.000"
2018 Honda HR-V E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/hr-v/2018-honda-hr-v-e-1.5/cvd4000,Petrol,Gray,5,10/18/2022,Private,70.608 km,Yes,Yes,No,11/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          263.000.000"
2015 Honda CITY E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/city/2015-honda-city-e-1.5/cdp2000,Petrol,Gray,5,11/15/2022,Private,98.920 km,Yes,Yes,No,12/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          184.000.000"
2019 Wuling ALMAZ LT LUX EXCLUSIVE 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/wuling/almaz/2019-wuling-almaz-lt-lux-exclusive-1.5/cl45000,Petrol,Gray,5,3/19/2022,Company,32.685 km,Yes,No,No,3/23/2022,"Carsome Tangerang Serang, Tangerang Selatan","Rp
          241.000.000"
2017 Honda MOBILIO RS 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2017-honda-mobilio-rs-1.5/c9e4000,Petrol,Gray,7,6/17/2022,Company,22.558 km,Yes,Yes,No,6/22/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          177.000.000"
2020 Toyota KIJANG INNOVA REBORN V DIESEL 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2020-toyota-kijang-innova-reborn-v-diesel-2.4/c974000,Diesel,Black,7,7/20/2022,Private,15.991 km,Yes,Yes,7/23/2022,7/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          429.000.000"
2015 Nissan X-TRAIL  2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/x-trail/2015-nissan-x-trail--2.5/cm52000,Petrol,Black,7,11/15/2022,Private,67.101 km,Yes,Yes,No,11/22/2022,"Carsome Bogor, Bogor","Rp
          215.100.000"
2018 Toyota FORTUNER VRZ TRD 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2018-toyota-fortuner-vrz-trd-2.4/cfg2000,Diesel,Black,7,6/18/2022,Company,56.923 km,Yes,Yes,No,6/23/2022,"Carsome Bogor, Bogor","Rp
          449.000.000"
2017 Daihatsu TERIOS X EKSTRA 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/terios/2017-daihatsu-terios-x-ekstra-1.5/cix1000,Petrol,White,7,8/17/2022,Private,60.770 km,Yes,Yes,No,9/22/2022,"Carsome Bogor, Bogor","Rp
          163.000.000"
2020 Honda ACCORD TC EL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/accord/2020-honda-accord-tc-el-1.5/cqs4000,Petrol,White,4,1/21/2022,Company,27.208 km,Yes,Yes,1/24/2022,2/23/2022,"Carsome Bekasi A.Yani, Bekasi","Rp
          648.000.000"
2018 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-satya-e-1.2/cmc3000,Petrol,Gray,5,4/18/2022,Private,25.877 km,Yes,Yes,No,5/23/2022,"Carsome Bandung, Bandung","Rp
          135.000.000"
2014 Toyota YARIS G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2014-toyota-yaris-g-1.5/cmy4000,Petrol,White,5,9/14/2022,Private,64.568 km,No,No,No,9/22/2022,"Carsome Depok, Depok","Rp
          155.000.000"
2016 Toyota KIJANG INNOVA G 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2016-toyota-kijang-innova-g-2.0/cvn3000,Petrol,Black,7,3/17/2022,Company,110.256 km,Yes,No,No,3/23/2022,"Carsome Bogor, Bogor","Rp
          245.000.000"
2019 Daihatsu TERIOS X 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/daihatsu/terios/2019-daihatsu-terios-x-1.5/cx44000,Petrol,Silver,7,2/19/2022,Private,23.704 km,Yes,Yes,No,3/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          206.000.000"
2019 Honda MOBILIO E 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/mobilio/2019-honda-mobilio-e-1.5/cy83000,Petrol,Black,7,8/19/2022,Private,27.364 km,Yes,Yes,No,8/22/2022,"Carsome Sawah Besar, Jakarta Pusat","Rp
          203.000.000"
2019 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mitsubishi/pajero-sport/2019-mitsubishi-pajero-sport-dakar-4x2-2.4/c8l1000,Diesel,Black,7,3/19/2022,Private,56.915 km,Yes,Yes,No,4/22/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          504.000.000"
2020 Suzuki ERTIGA GL 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/suzuki/ertiga/2020-suzuki-ertiga-gl-1.5/c4j4000,Petrol,Gray,7,1/21/2022,Private,38.020 km,No,Yes,2/24/2022,2/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          185.000.000"
2018 Honda CR-V TURBO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/cr-v/2018-honda-cr-v-turbo-1.5/caj2000,Petrol,White,7,12/18/2022,Company,62.733 km,Yes,Yes,No,12/22/2022,"Carsome Depok, Depok","Rp
          411.000.000"
2020 Toyota CALYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/calya/2020-toyota-calya-g-1.2/cps2000,Petrol,Silver,7,1/20/2022,Private,13.406 km,Yes,Yes,2/23/2022,2/23/2022,"Carsome Bogor, Bogor","Rp
          141.000.000"
2019 Toyota AVANZA G 1.3,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/avanza/2019-toyota-avanza-g-1.3/cn45000,Petrol,White,7,10/19/2022,Private,53.291 km,Yes,Yes,No,10/23/2022,"Carsome Malang, Malang","Rp
          188.000.000"
2013 Toyota VIOS G 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/vios/2013-toyota-vios-g-1.5/c6r4000,Petrol,Gray,5,3/14/2022,Private,70.962 km,No,Yes,No,3/23/2022,"Carsome Depok, Depok","Rp
          151.000.000"
2018 Mercedes-Benz GLA 200 AMG 1.6,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/mercedes-benz/gla/2018-mercedes-benz-gla-200-amg-1.6/cot2000,Petrol,Black,5,1/19/2022,Private,60.879 km,Yes,Yes,No,2/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          628.000.000"
2019 Toyota ALPHARD G 2.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/alphard/2019-toyota-alphard-g-2.5/c0s3000,Petrol,Black,7,2/19/2022,Private,11.752 km,Yes,Yes,No,3/23/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          1.163.000.000"
2017 Toyota KIJANG INNOVA REBORN V 2.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/kijang-innova/2017-toyota-kijang-innova-reborn-v-2.0/cpf2000,Petrol,Gray,7,1/17/2022,Private,90.129 km,Yes,Yes,No,1/23/2022,"Carsome MT Haryono , Jakarta Timur","Rp
          286.100.000"
2019 Toyota YARIS S TRD 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/yaris/2019-toyota-yaris-s-trd-1.5/cau4000,Petrol,Black,5,6/19/2022,Private,30.916 km,Yes,Yes,No,6/23/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          244.000.000"
2019 Toyota AGYA G TRD 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2019-toyota-agya-g-trd-1.2/cze1000,Petrol,Black,5,6/19/2022,Private,23.183 km,No,Yes,No,9/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          126.100.000"
2021 Toyota RAIZE GR SPORT 1.0,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/raize/2021-toyota-raize-gr-sport-1.0/c7t4000,Petrol,Blue,5,1/22/2022,Private,3.698 km,Yes,Yes,2/25/2022,1/23/2022,"Carsome Bandung, Bandung","Rp
          260.000.000"
2017 Honda BRIO RS 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2017-honda-brio-rs-1.2/c545000,Petrol,Black,5,5/17/2022,Private,83.495 km,Yes,Yes,No,9/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          150.000.000"
2019 Toyota RUSH S TRD SPORTIVO 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/rush/2019-toyota-rush-s-trd-sportivo-1.5/c0x4000,Petrol,White,7,5/19/2022,Private,44.034 km,Yes,Yes,No,5/23/2022,"Carsome Bekasi Siliwangi, Bekasi","Rp
          233.000.000"
2017 Toyota AGYA G 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/agya/2017-toyota-agya-g-1.2/cvt4000,Petrol,Red,5,12/17/2022,Private,33.112 km,Yes,Yes,No,11/22/2022,"Carsome Puri Indah, Jakarta Barat","Rp
          125.000.000"
2018 Honda BRIO SATYA E 1.2,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/honda/brio/2018-honda-brio-satya-e-1.2/c945000,Petrol,Gray,5,9/18/2022,Private,53.025 km,Yes,Yes,No,10/23/2022,"Carsome Pondok Indah, Jakarta Selatan","Rp
          151.000.000"
2018 Toyota FORTUNER VRZ 4X2 2.4,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/toyota/fortuner/2018-toyota-fortuner-vrz-4x2-2.4/cec2000,Diesel,Black,7,11/18/2022,Company,80.276 km,Yes,Yes,No,11/21/2022,"Carsome Tangerang Selatan, Tangerang Selatan","Rp
          416.000.000"
2016 Nissan GRAND LIVINA SV 1.5,Purchase Pending    Compare,https://www.carsome.id/en/buy-car/nissan/grand-livina/2016-nissan-grand-livina-sv-1.5/cy64000,Petrol,Black,7,9/16/2022,Company,88.823 km,No,Yes,No,9/22/2022,"Carsome Kelapa Gading, Jakarta Utara","Rp
          135.000.000"
